TradeID,UTI,UPI,ActionType,EventDate,ExecutionTimestamp,ProductType,AssetClass,Counterparty1LEI,Counterparty2LEI,NotionalAmount,Currency,MaturityDate,ClearingObligation,Cleared,ReportingTimestamp
VAR1-R001-PASS,5493001KJTIIGC8Y1R1481001,IRSOISUSD001,NEWT,2026-08-04,2026-08-04T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1015000,USD,2031-08-03,Y,Y,2026-08-04T09:30:00Z
VAR1-R001-FAIL,bad#uti!,IRSOISUSD001,NEWT,2026-08-05,2026-08-05T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1015000,USD,2031-08-04,Y,Y,2026-08-05T09:30:00Z
VAR1-R002-PASS,5493001KJTIIGC8Y1R1481003,IRSFIXFLT001,NEWT,2026-08-06,2026-08-06T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1030000,USD,2031-08-05,Y,Y,2026-08-06T09:30:00Z
VAR1-R002-FAIL,short1,IRSFIXFLT001,NEWT,2026-08-07,2026-08-07T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1030000,USD,2031-08-06,Y,Y,2026-08-07T09:30:00Z
VAR1-R003-PASS,5493001KJTIIGC8Y1R1481005,IRSOISUSD001,NEWT,2026-08-10,2026-08-10T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1045000,USD,2031-08-09,Y,Y,2026-08-10T09:30:00Z
VAR1-R003-FAIL,5493001KJTIIGC8Y1R1481006,IRSOISUSD001,NEWT,2026-08-11,2026-08-11T09:00:00Z,Swap,IR,969500UNKNOWNLEI0091,213800D1EI4B9WTWWD28,1045000,USD,2031-08-10,Y,Y,2026-08-11T09:30:00Z
VAR1-R004-PASS,5493001KJTIIGC8Y1R1481007,IRSFIXFLT002,NEWT,2026-08-12,2026-08-12T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1060000,USD,2031-08-11,Y,Y,2026-08-12T09:30:00Z
VAR1-R004-FAIL,5493001KJTIIGC8Y1R1481008,IRSFIXFLT002,NEWT,2026-08-13,2026-08-13T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,INVALIDLEI0000000099,1060000,USD,2031-08-12,Y,Y,2026-08-13T09:30:00Z
VAR1-R005-PASS,5493001KJTIIGC8Y1R1481009,IRSFIXFLT002,NEWT,2026-08-14,2026-08-14T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1075000,USD,2031-08-13,Y,Y,2026-08-14T09:30:00Z
VAR1-R005-FAIL,5493001KJTIIGC8Y1R1481010,IRSFIXFLT002,NEWT,2026-08-17,2026-08-17T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,-1075000,USD,2031-08-16,Y,Y,2026-08-17T09:30:00Z
VAR1-R006-PASS,5493001KJTIIGC8Y1R1481011,IRSOISUSD001,NEWT,2026-08-18,2026-08-18T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1090000,USD,2031-08-17,Y,Y,2026-08-18T09:30:00Z
VAR1-R006-FAIL,5493001KJTIIGC8Y1R1481012,IRSOISUSD001,NEWT,2026-08-19,2026-08-19T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1090000,US,2031-08-18,Y,Y,2026-08-19T09:30:00Z
VAR1-R007-PASS,5493001KJTIIGC8Y1R1481013,IRSOISUSD001,NEWT,2026-08-20,2026-08-20T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1105000,USD,2031-08-19,Y,Y,2026-08-20T09:30:00Z
VAR1-R007-FAIL,5493001KJTIIGC8Y1R1481014,IRSOISUSD001,NEWT,2026-08-21,2026-08-21T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1105000,USD,2031/08/20,Y,Y,2026-08-21T09:30:00Z
VAR1-R008-PASS,5493001KJTIIGC8Y1R1481015,IRSFIXFLT001,NEWT,2026-08-24,2026-08-24T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1120000,USD,2031-08-23,Y,Y,2026-08-24T09:30:00Z
VAR1-R008-FAIL,5493001KJTIIGC8Y1R1481016,IRSFIXFLT001,NEWT,2026-08-25,2026-08-25T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1120000,USD,2023-08-26,Y,Y,2026-08-25T09:30:00Z
VAR1-R009-PASS,5493001KJTIIGC8Y1R1481017,IRSOISUSD001,NEWT,2026-08-26,2026-08-26T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1135000,USD,2031-08-25,Y,Y,2026-08-26T09:30:00Z
VAR1-R009-FAIL,5493001KJTIIGC8Y1R1481018,IRSOISUSD001,NEWT,2026-08-27,2026-08-27T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1135000,USD,2031-08-26,Y,Y,27-08-2026 09:30
VAR1-R010-PASS,5493001KJTIIGC8Y1R1481019,IRSFIXFLT001,NEWT,2026-08-28,2026-08-28T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1150000,USD,2031-08-27,Y,Y,2026-08-28T09:30:00Z
VAR1-R010-FAIL,5493001KJTIIGC8Y1R1481020,,NEWT,2026-08-31,2026-08-31T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1150000,USD,2031-08-30,Y,Y,2026-08-31T09:30:00Z
VAR1-R011-PASS,5493001KJTIIGC8Y1R1481021,IRSFIXFLT002,NEWT,2026-09-01,2026-09-01T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1165000,USD,2031-08-31,Y,Y,2026-09-01T09:30:00Z
VAR1-R011-FAIL,5493001KJTIIGC8Y1R1481022,IRSFIXFLT002,NEWT,2026-09-02,2026-09-02T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,,1165000,USD,2031-09-01,Y,Y,2026-09-02T09:30:00Z
VAR1-R012-PASS,5493001KJTIIGC8Y1R1481023,IRSFIXFLT002,NEWT,2026-09-03,2026-09-03T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1180000,USD,2031-09-02,Y,Y,2026-09-03T09:30:00Z
VAR1-R012-FAIL,5493001KJTIIGC8Y1R1481024,IRSFIXFLT002,NEWT,2026-09-04,2026-09-04T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,,USD,2031-09-03,Y,Y,2026-09-04T09:30:00Z
VAR1-R013-PASS,5493001KJTIIGC8Y1R1481025,IRSOISUSD001,NEWT,2026-09-07,2026-09-07T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1195000,USD,2031-09-06,Y,Y,2026-09-07T09:30:00Z
VAR1-R013-FAIL,5493001KJTIIGC8Y1R1481026,IRSOISUSD001,NEWT,2026-09-08,2026-09-08T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1195000,,2031-09-07,Y,Y,2026-09-08T09:30:00Z
VAR1-R014-PASS,5493001KJTIIGC8Y1R1481027,IRSFIXFLT001,NEWT,2026-09-09,2026-09-09T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1210000,USD,2031-09-08,Y,Y,2026-09-09T09:30:00Z
VAR1-R014-FAIL,5493001KJTIIGC8Y1R1481028,IRSFIXFLT001,ZZ,2026-09-10,2026-09-10T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1210000,USD,2031-09-09,Y,Y,2026-09-10T09:30:00Z
VAR1-R015-PASS,5493001KJTIIGC8Y1R1481029,EQUITYSWP001,NEWT,2026-09-11,2026-09-11T09:00:00Z,Swap,EQ,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1225000,USD,2031-09-10,Y,Y,2026-09-11T09:30:00Z
