TradeID,UTI,UPI,ActionType,EventDate,ExecutionTimestamp,ProductType,AssetClass,Counterparty1LEI,Counterparty2LEI,NotionalAmount,Currency,MaturityDate,ClearingObligation,Cleared,ReportingTimestamp
VAR3-R001-PASS,213800MELBOURNEF481003,IRSFIXFLT001,NEWT,2026-12-08,2026-12-08T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,759500,USD,2031-12-07,Y,Y,2026-12-08T09:30:00Z
VAR3-R001-FAIL,bad#uti!,IRSFIXFLT001,NEWT,2026-12-09,2026-12-09T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,759500,USD,2031-12-08,Y,Y,2026-12-09T09:30:00Z
VAR3-R002-PASS,213800MELBOURNEF481009,IRSFIXFLT001,NEWT,2026-12-10,2026-12-10T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,769000,USD,2031-12-09,Y,Y,2026-12-10T09:30:00Z
VAR3-R002-FAIL,short1,IRSFIXFLT001,NEWT,2026-12-11,2026-12-11T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,769000,USD,2031-12-10,Y,Y,2026-12-11T09:30:00Z
VAR3-R003-PASS,213800MELBOURNEF481015,IRSOISUSD001,NEWT,2026-12-14,2026-12-14T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,778500,USD,2031-12-13,Y,Y,2026-12-14T09:30:00Z
VAR3-R003-FAIL,213800MELBOURNEF481018,IRSOISUSD001,NEWT,2026-12-15,2026-12-15T09:00:00Z,Swap,IR,969500UNKNOWNLEI0377,549300TOKYOBANKCORP1,778500,USD,2031-12-14,Y,Y,2026-12-15T09:30:00Z
VAR3-R004-PASS,213800MELBOURNEF481021,IRSFIXFLT001,NEWT,2026-12-16,2026-12-16T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,788000,USD,2031-12-15,Y,Y,2026-12-16T09:30:00Z
VAR3-R004-FAIL,213800MELBOURNEF481024,IRSFIXFLT001,NEWT,2026-12-17,2026-12-17T09:00:00Z,Swap,IR,213800MELBOURNEFI001,INVALIDLEI0000000099,788000,USD,2031-12-16,Y,Y,2026-12-17T09:30:00Z
VAR3-R005-PASS,213800MELBOURNEF481027,IRSFIXFLT001,NEWT,2026-12-18,2026-12-18T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,797500,USD,2031-12-17,Y,Y,2026-12-18T09:30:00Z
VAR3-R005-FAIL,213800MELBOURNEF481030,IRSFIXFLT001,NEWT,2026-12-21,2026-12-21T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,-797500,USD,2031-12-20,Y,Y,2026-12-21T09:30:00Z
VAR3-R006-PASS,213800MELBOURNEF481033,IRSOISUSD001,NEWT,2026-12-22,2026-12-22T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,807000,USD,2031-12-21,Y,Y,2026-12-22T09:30:00Z
VAR3-R006-FAIL,213800MELBOURNEF481036,IRSOISUSD001,NEWT,2026-12-23,2026-12-23T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,807000,DEM,2031-12-22,Y,Y,2026-12-23T09:30:00Z
VAR3-R007-PASS,213800MELBOURNEF481039,IRSFIXFLT002,NEWT,2026-12-24,2026-12-24T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,816500,USD,2031-12-23,Y,Y,2026-12-24T09:30:00Z
VAR3-R007-FAIL,213800MELBOURNEF481042,IRSFIXFLT002,NEWT,2026-12-25,2026-12-25T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,816500,USD,2031/12/24,Y,Y,2026-12-25T09:30:00Z
VAR3-R008-PASS,213800MELBOURNEF481045,IRSOISUSD001,NEWT,2026-12-28,2026-12-28T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,826000,USD,2031-12-27,Y,Y,2026-12-28T09:30:00Z
VAR3-R008-FAIL,213800MELBOURNEF481048,IRSOISUSD001,NEWT,2026-12-29,2026-12-29T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,826000,USD,2023-12-30,Y,Y,2026-12-29T09:30:00Z
VAR3-R009-PASS,213800MELBOURNEF481051,IRSOISUSD001,NEWT,2026-12-30,2026-12-30T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,835500,USD,2031-12-29,Y,Y,2026-12-30T09:30:00Z
VAR3-R009-FAIL,213800MELBOURNEF481054,IRSOISUSD001,NEWT,2026-12-31,2026-12-31T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,835500,USD,2031-12-30,Y,Y,31-12-2026 09:30
VAR3-R010-PASS,213800MELBOURNEF481057,IRSFIXFLT002,NEWT,2027-01-01,2027-01-01T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,845000,USD,2031-12-31,Y,Y,2027-01-01T09:30:00Z
VAR3-R010-FAIL,213800MELBOURNEF481060,,NEWT,2027-01-04,2027-01-04T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,845000,USD,2032-01-03,Y,Y,2027-01-04T09:30:00Z
VAR3-R011-PASS,213800MELBOURNEF481063,IRSFIXFLT001,NEWT,2027-01-05,2027-01-05T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,854500,USD,2032-01-04,Y,Y,2027-01-05T09:30:00Z
VAR3-R011-FAIL,213800MELBOURNEF481066,IRSFIXFLT001,NEWT,2027-01-06,2027-01-06T09:00:00Z,Swap,IR,213800MELBOURNEFI001,,854500,USD,2032-01-05,Y,Y,2027-01-06T09:30:00Z
VAR3-R012-PASS,213800MELBOURNEF481069,IRSFIXFLT002,NEWT,2027-01-07,2027-01-07T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,864000,USD,2032-01-06,Y,Y,2027-01-07T09:30:00Z
VAR3-R012-FAIL,213800MELBOURNEF481072,IRSFIXFLT002,NEWT,2027-01-08,2027-01-08T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,,USD,2032-01-07,Y,Y,2027-01-08T09:30:00Z
VAR3-R013-PASS,213800MELBOURNEF481075,IRSFIXFLT002,NEWT,2027-01-11,2027-01-11T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,873500,USD,2032-01-10,Y,Y,2027-01-11T09:30:00Z
VAR3-R013-FAIL,213800MELBOURNEF481078,IRSFIXFLT002,NEWT,2027-01-12,2027-01-12T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,873500,,2032-01-11,Y,Y,2027-01-12T09:30:00Z
VAR3-R014-PASS,213800MELBOURNEF481081,IRSOISUSD001,NEWT,2027-01-13,2027-01-13T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,883000,USD,2032-01-12,Y,Y,2027-01-13T09:30:00Z
VAR3-R014-FAIL,213800MELBOURNEF481084,IRSOISUSD001,ZZ,2027-01-14,2027-01-14T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,883000,USD,2032-01-13,Y,Y,2027-01-14T09:30:00Z
VAR3-R015-PASS,213800MELBOURNEF481087,EQUITYOPT001,NEWT,2027-01-15,2027-01-15T09:00:00Z,Swap,EQ,213800MELBOURNEFI001,549300TOKYOBANKCORP1,892500,USD,2032-01-14,Y,Y,2027-01-15T09:30:00Z
VAR3-R015-FAIL,213800MELBOURNEF481090,EQUITYOPT001,NEWT,2027-01-18,2027-01-18T09:00:00Z,Swap,,213800MELBOURNEFI001,549300TOKYOBANKCORP1,892500,USD,2032-01-17,Y,Y,2027-01-18T09:30:00Z
VAR3-R016-PASS,213800MELBOURNEF481093,IRSFIXFLT002,NEWT,2027-01-19,2027-01-19T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,902000,USD,2032-01-18,Y,Y,2027-01-19T09:30:00Z
VAR3-R016-FAIL,213800MELBOURNEF481096,IRSFIXFLT002,NEWT,2027-01-20,2027-01-20T09:00:00Z,Swap,IR,213800MELBOURNEFI001,213800MELBOURNEFI001,902000,USD,2032-01-19,Y,Y,2027-01-20T09:30:00Z
VAR3-R017-PASS,213800MELBOURNEF481099,IRSOISUSD001,NEWT,2027-01-21,2027-01-21T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,911500,USD,2032-01-20,Y,Y,2027-01-21T09:30:00Z
VAR3-R017-FAIL,213800MELBOURNEF481102,IRSOISUSD001,NEWT,2027-01-22,2027-01-22T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,0,USD,2032-01-21,Y,Y,2027-01-22T09:30:00Z
VAR3-R018-PASS,213800MELBOURNEF481105,IRSOISUSD001,NEWT,2027-01-25,2027-01-25T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,921000,USD,2032-01-24,Y,Y,2027-01-25T09:30:00Z
VAR3-R018-FAIL,213800MELBOURNEF481108,IRSOISUSD001,NEWT,2027-01-26,2027-01-26T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,921000,USD,2202-01-26,Y,Y,2027-01-26T09:30:00Z
VAR3-R019-PASS,213800MELBOURNEF481111,IRSOISUSD001,NEWT,2027-01-27,2027-01-27T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,930500,USD,2032-01-26,Y,Y,2027-01-27T09:30:00Z
VAR3-R019-FAIL,,IRSOISUSD001,NEWT,2027-01-28,2027-01-28T09:00:00Z,Swap,IR,213800MELBOURNEFI001,549300TOKYOBANKCORP1,930500,USD,2032-01-27,Y,Y,2027-01-28T09:30:00Z
VAR3-R020-PASS,213800MELBOURNEF481117,EQUITYOPT001,NEWT,2027-01-29,2027-01-29T09:00:00Z,Swap,EQ,213800MELBOURNEFI001,549300TOKYOBANKCORP1,940000,USD,2032-01-28,Y,Y,2027-01-29T09:30:00Z
